Palabras,Frecuencia,Probabilidad,Cant. Informacion,
00000,211,0.03349206349206349,4.900036924567456,
00001,203,0.03222222222222222,4.9558001960894655,
00010,211,0.03349206349206349,4.900036924567456,
00011,196,0.03111111111111111,5.006426269159433,
00100,193,0.030634920634920636,5.0286790760065605,
00101,223,0.0353968253968254,4.820236213354336,
00110,201,0.03190476190476191,4.970084422095713,
00111,193,0.030634920634920636,5.0286790760065605,
01000,215,0.034126984126984124,4.8729432636851815,
01001,192,0.030476190476190476,5.036173612553485,
01010,180,0.02857142857142857,5.129283016944966,
01011,175,0.027777777777777776,5.169925001442312,
01100,176,0.027936507936507936,5.161704494637344,
01101,225,0.03571428571428571,4.807354922057604,
01110,203,0.03222222222222222,4.9558001960894655,
01111,195,0.030952380952380953,5.013805799525031,
10000,183,0.029047619047619048,5.105436274990598,
10001,215,0.034126984126984124,4.8729432636851815,
10010,206,0.0326984126984127,4.9346355860914235,
10011,200,0.031746031746031744,4.977279923499917,
10100,217,0.034444444444444444,4.8595848808301625,
10101,190,0.03015873015873016,5.051280504943693,
10110,173,0.02746031746031746,5.1865078856379165,
10111,171,0.027142857142857142,5.203283598388744,
11000,209,0.033174603174603176,4.913776981193759,
11001,194,0.030793650793650793,5.021223271087514,
11010,188,0.029841269841269842,5.0665472615970035,
11011,189,0.03,5.058893689053569,
11100,183,0.029047619047619048,5.105436274990598,
11101,190,0.03015873015873016,5.051280504943693,
11110,185,0.029365079365079365,5.089754652758329,
11111,215,0.034126984126984124,4.8729432636851815,
 ,6300,1.0, 

Entropia H(S),4.996012045108118,
Kraft,1.0,
Rendimiento,0.9992024090216234,
Redundancia,7.975909783766166E-4,
